Point ID,vtkOriginalPointIds,Points_0,Points_1,Points_2,Points_Magnitude
309,48111,21.9492,-42.0843,225.009,229.961
310,48117,22.1638,-40.9974,224.937,229.715
311,48118,21.7683,-41.022,226.161,230.879
312,48119,22.0074,-39.8022,225.96,230.492
313,48120,22.3453,-39.8404,224.848,229.441
314,48125,22.3091,-38.7501,225.321,229.715
315,48126,21.8208,-38.7089,226.795,231.107
316,48127,22.1531,-38.0939,225.956,230.213
317,48128,22.4885,-37.5377,224.9,229.118
318,48132,22.194,-36.9641,225.946,230.023
319,48133,22.4979,-36.4232,224.929,228.967
320,48134,22.1005,-35.782,226.253,230.128
321,48135,22.3262,-35.7898,225.515,229.426
322,48140,22.3287,-34.8202,225.456,229.219
323,48141,22.4743,-34.2338,224.851,228.55
324,48142,22.0788,-34.79,226.28,230.001
325,48143,22.0606,-33.3407,226.266,229.77
326,48144,22.282,-33.5377,225.537,229.103
327,48145,21.9144,-33.8376,226.725,230.281
328,48150,22.4129,-32.3143,224.915,228.327
329,48151,22.102,-32.181,225.962,229.309
330,48152,22.1999,-31.2443,225.391,228.626
331,48157,22.0655,-30.1605,225.382,228.459
332,48158,21.8298,-30.4278,226.259,229.337
333,48159,21.7113,-29.0961,225.88,228.778
334,48160,21.9003,-28.8463,225.121,228.015
335,48165,21.4762,-27.9841,225.731,228.47
336,48166,21.1073,-26.9944,225.878,228.462
337,48167,21.3805,-26.868,224.922,227.528
338,48170,21.0438,-25.9036,224.83,227.294
339,48171,20.711,-25.953,225.856,228.284
340,48172,20.245,-24.9742,225.907,228.183
341,48173,20.61,-24.9236,224.817,227.131
342,48179,20.1764,-24.0297,224.771,226.951
343,48180,19.6777,-23.2082,224.846,226.895
344,48181,19.7978,-24.0737,225.867,228.007
345,48182,19.3084,-23.229,225.84,227.851
346,48188,18.0181,-21.2221,225.421,227.133
347,48189,17.448,-20.5782,225.414,227.023
348,48190,18.0153,-21.713,226.307,228.059
349,48191,17.2549,-20.9583,226.53,228.151
350,48192,18.7054,-22.3373,225.842,227.714
